"Município";"2024/Mai";"2024/Jun";"2024/Jul";"2024/Ago";"2024/Set";"2024/Out";"2024/Nov";"2024/Dez";"2025/Jan";"2025/Fev";"2025/Mar";"2025/Abr";"2025/Mai";"2025/Jun";"2025/Jul";"2025/Ago";"2025/Set";"2025/Out";"2025/Nov";"2025/Dez";"2026/Jan";"2026/Fev";"Total"
"130110 CAREIRO";130744,71;141331,12;122728,47;123259,48;88104,91;80809,55;63502,64;61608,36;74887,27;60532,88;67115,81;80419,89;72180,75;70051,14;69641,65;69029,90;75288,32;57412,97;61390,60;57331,83;41205,94;51272,57;1719850,76
"130115 CAREIRO DA VARZEA";-;-;-;-;-;-;-;-;-;-;-;-;1315,84;665,80;1105,41;2870,73;1320,06;2879,12;2143,24;-;556,36;-;12856,56
"130120 COARI";197181,84;256329,75;164679,63;154376,24;430388,18;323567,92;227164,72;284427,55;244034,44;196973,23;212993,25;154872,52;211787,97;260617,94;221570,07;227751,91;198709,40;222375,91;198376,81;261292,53;234424,09;288488,79;5172384,69
"130130 CODAJAS";43480,07;35349,91;38074,20;34636,85;46809,19;38279,61;117076,97;38195,78;29871,19;27916,47;26885,95;25742,35;28182,86;26735,29;15696,72;22357,32;27899,82;22685,19;22952,04;25741,12;24394,09;-;718962,99
"130140 EIRUNEPE";78861,27;79303,68;45948,09;91181,12;89489,14;64028,41;56554,01;71494,95;81799,56;92538,81;91725,31;106275,26;112644,16;89008,65;124826,75;142306,53;73162,87;140252,75;87171,98;91256,88;121248,63;97291,36;2028370,17
"130150 ENVIRA";29159,09;35560,64;18705,54;38577,34;32430,72;30852,17;34320,32;25240,78;46909,83;32691,74;28778,63;13840,06;28038,94;35143,37;44723,60;36461,71;30367,28;23192,79;31504,24;56023,61;37713,96;35069,11;725305,47
"130160 FONTE BOA";51770,64;57311,26;58480,22;51359,74;51296,77;51413,29;45987,53;48912,45;54925,71;62390,64;64131,80;50651,77;81561,78;91358,17;51964,62;58658,99;85657,80;64916,56;48127,48;43623,84;54654,18;-;1229155,24
"130165 GUAJARA";26490,92;18594,63;12026,45;14759,39;34714,98;36929,63;17711,99;24520,96;6321,76;5252,67;16787,63;13876,81;13607,62;18893,79;6660,25;4934,15;4602,60;7502,71;5769,22;5052,25;8514,76;16138,11;319663,28
"130170 HUMAITA";84995,57;80261,54;68806,23;91984,15;62408,10;66091,95;38289,79;76427,45;120212,94;95404,99;97159,40;148349,70;111453,04;84956,55;72869,83;108174,50;168761,12;63500,12;74273,66;99661,42;102455,65;-;1916497,70
"130180 IPIXUNA";211323,05;210025,32;68545,77;68291,06;64970,07;69057,66;73352,57;69480,03;68312,58;77951,16;52787,12;62638,85;67441,58;72093,97;69988,13;77848,37;75435,52;73527,13;61628,59;47400,88;69762,60;-;1711862,01
"130185 IRANDUBA";50426,72;224431,47;25726,97;29515,12;20409,42;26576,21;28885,27;26581,29;17713,10;38389,31;23190,73;23327,61;16313,87;17753,31;12694,47;9671,36;9777,46;12291,41;11682,93;18378,07;-;-;643736,10
"130190 ITACOATIARA";230195,71;217427,30;227623,74;254810,17;344354,05;286677,35;276178,93;363101,11;191317,66;305682,43;312313,31;322286,92;331141,81;287011,85;337203,40;380333,36;398270,65;336711,05;399663,61;376845,05;353091,82;361442,65;6893683,93
"130195 ITAMARATI";36626,81;35779,23;33894,42;27770,86;30701,11;31581,75;29385,40;21920,38;37468,02;25539,69;26417,75;28406,25;24413,80;19595,99;16136,83;17291,51;-;15553,20;-;-;4595,75;-;463078,75
"130200 ITAPIRANGA";16510,63;17481,20;13191,51;39112,81;58604,40;10200,52;12201,07;13109,62;14693,96;6938,25;14928,24;18738,42;46070,46;21061,60;27327,92;17414,94;20907,31;42302,69;73422,19;62476,77;56683,38;48495,83;651873,72
"130210 JAPURA";8334,31;8284,52;11391,39;8964,04;14392,95;15256,74;12081,81;16320,87;12179,84;17558,29;16350,38;16817,47;9624,30;14746,08;36496,40;-;-;-;-;-;-;-;218799,39
